,date,close,ticker,discreet_return,continuous_return
0,2021-05-04,26.887500762939453,BPAC11,-0.038788,-0.03956
1,2021-05-05,27.5,BPAC11,0.02278,0.022524
2,2021-05-06,27.94499969482422,BPAC11,0.016182,0.016052
3,2021-05-07,27.975000381469727,BPAC11,0.001074,0.001073
4,2021-05-10,28.082500457763672,BPAC11,0.003843,0.003835
5,2021-05-11,27.5674991607666,BPAC11,-0.018339,-0.018509
6,2021-05-12,26.954999923706055,BPAC11,-0.022218,-0.022469
7,2021-05-13,28.002500534057617,BPAC11,0.038861,0.038125
8,2021-05-14,28.075000762939453,BPAC11,0.002589,0.002586
9,2021-05-17,28.967500686645508,BPAC11,0.03179,0.031295
10,2021-05-18,28.600000381469727,BPAC11,-0.012687,-0.012768
11,2021-05-19,28.915000915527344,BPAC11,0.011014,0.010954
12,2021-05-20,29.827499389648438,BPAC11,0.031558,0.03107
13,2021-05-21,29.655000686645508,BPAC11,-0.005783,-0.0058
14,2021-05-24,30.642499923706055,BPAC11,0.0333,0.032757
15,2021-05-25,30.452499389648438,BPAC11,-0.006201,-0.00622
16,2021-05-26,30.25,BPAC11,-0.00665,-0.006672
17,2021-05-27,30.674999237060547,BPAC11,0.01405,0.013952
18,2021-05-28,30.735000610351562,BPAC11,0.001956,0.001954
19,2021-05-31,31.012500762939453,BPAC11,0.009029,0.008988
20,2021-06-01,30.5,BPAC11,-0.016526,-0.016664
21,2021-06-02,30.325000762939453,BPAC11,-0.005738,-0.005754
22,2021-06-04,30.5625,BPAC11,0.007832,0.007801
23,2021-06-07,30.372499465942383,BPAC11,-0.006217,-0.006236
24,2021-06-08,30.875,BPAC11,0.016545,0.016409
25,2021-06-09,30.364999771118164,BPAC11,-0.016518,-0.016656
26,2021-06-10,30.202499389648438,BPAC11,-0.005352,-0.005366
27,2021-06-11,29.56999969482422,BPAC11,-0.020942,-0.021164
28,2021-06-14,29.614999771118164,BPAC11,0.001522,0.001521
29,2021-06-15,30.50749969482422,BPAC11,0.030137,0.029692
30,2021-06-16,30.612499237060547,BPAC11,0.003442,0.003436
31,2021-06-17,30.577499389648438,BPAC11,-0.001143,-0.001144
32,2021-06-18,30.537500381469727,BPAC11,-0.001308,-0.001309
33,2021-06-21,30.7450008392334,BPAC11,0.006795,0.006772
34,2021-06-22,30.232500076293945,BPAC11,-0.016669,-0.01681
35,2021-06-23,30.302499771118164,BPAC11,0.002315,0.002313
36,2021-06-24,30.100000381469727,BPAC11,-0.006683,-0.006705
37,2021-06-25,29.5674991607666,BPAC11,-0.017691,-0.017849
38,2021-06-28,30.489999771118164,BPAC11,0.0312,0.030723
39,2021-06-29,30.674999237060547,BPAC11,0.006068,0.006049
40,2021-06-30,30.514999389648438,BPAC11,-0.005216,-0.00523
41,2021-07-01,30.09000015258789,BPAC11,-0.013928,-0.014025
42,2021-07-02,31.459999084472656,BPAC11,0.04553,0.044524
43,2021-07-05,31.40999984741211,BPAC11,-0.001589,-0.001591
44,2021-07-06,30.719999313354492,BPAC11,-0.021968,-0.022212
45,2021-07-07,30.969999313354492,BPAC11,0.008138,0.008105
46,2021-07-08,30.43000030517578,BPAC11,-0.017436,-0.01759
47,2021-07-12,30.709999084472656,BPAC11,0.009201,0.009159
48,2021-07-13,31.149999618530273,BPAC11,0.014328,0.014226
49,2021-07-14,31.690000534057617,BPAC11,0.017336,0.017187
50,2021-07-15,32.189998626708984,BPAC11,0.015778,0.015655
51,2021-07-16,31.68000030517578,BPAC11,-0.015843,-0.01597
52,2021-07-19,31.15999984741211,BPAC11,-0.016414,-0.01655
53,2021-07-20,31.600000381469727,BPAC11,0.014121,0.014022
54,2021-07-21,31.850000381469727,BPAC11,0.007911,0.00788
55,2021-07-22,31.65999984741211,BPAC11,-0.005965,-0.005983
56,2021-07-23,31.68000030517578,BPAC11,0.000632,0.000632
57,2021-07-26,32.27000045776367,BPAC11,0.018624,0.018452
58,2021-07-27,31.670000076293945,BPAC11,-0.018593,-0.018768
59,2021-07-28,31.020000457763672,BPAC11,-0.020524,-0.020738
60,2021-07-29,30.649999618530273,BPAC11,-0.011928,-0.012
61,2021-07-30,29.149999618530273,BPAC11,-0.04894,-0.050178
62,2021-08-02,29.540000915527344,BPAC11,0.013379,0.01329
63,2021-08-03,30.0,BPAC11,0.015572,0.015452
64,2021-08-04,29.81999969482422,BPAC11,-0.006,-0.006018
65,2021-08-05,29.719999313354492,BPAC11,-0.003353,-0.003359
66,2021-08-06,30.06999969482422,BPAC11,0.011777,0.011708
67,2021-08-09,31.299999237060547,BPAC11,0.040905,0.04009
68,2021-08-10,31.09000015258789,BPAC11,-0.006709,-0.006732
69,2021-08-11,30.350000381469727,BPAC11,-0.023802,-0.02409
70,2021-08-12,29.469999313354492,BPAC11,-0.028995,-0.029424
71,2021-08-13,29.690000534057617,BPAC11,0.007465,0.007438
72,2021-08-16,28.219999313354492,BPAC11,-0.049512,-0.050779
73,2021-08-17,28.030000686645508,BPAC11,-0.006733,-0.006756
74,2021-08-18,27.5,BPAC11,-0.018908,-0.019089
75,2021-08-19,28.389999389648438,BPAC11,0.032364,0.031851
76,2021-08-20,28.329999923706055,BPAC11,-0.002113,-0.002116
77,2021-08-23,27.969999313354492,BPAC11,-0.012707,-0.012789
78,2021-08-24,28.65999984741211,BPAC11,0.024669,0.02437
79,2021-08-25,28.760000228881836,BPAC11,0.003489,0.003483
80,2021-08-26,28.030000686645508,BPAC11,-0.025382,-0.02571
81,2021-08-27,29.209999084472656,BPAC11,0.042098,0.041236
82,2021-08-30,28.739999771118164,BPAC11,-0.01609,-0.016221
83,2021-08-31,28.43000030517578,BPAC11,-0.010786,-0.010845
84,2021-09-01,27.969999313354492,BPAC11,-0.01618,-0.016312
85,2021-09-02,27.6299991607666,BPAC11,-0.012156,-0.01223
86,2021-09-03,27.479999542236328,BPAC11,-0.005429,-0.005444
87,2021-09-06,27.940000534057617,BPAC11,0.016739,0.016601
88,2021-09-08,26.579999923706055,BPAC11,-0.048676,-0.0499
89,2021-09-09,27.600000381469727,BPAC11,0.038375,0.037657
90,2021-09-10,26.93000030517578,BPAC11,-0.024275,-0.024575
91,2021-09-13,27.559999465942383,BPAC11,0.023394,0.023125
92,2021-09-14,27.6299991607666,BPAC11,0.00254,0.002537
93,2021-09-15,27.5,BPAC11,-0.004705,-0.004716
94,2021-09-16,27.34000015258789,BPAC11,-0.005818,-0.005835
95,2021-09-17,26.799999237060547,BPAC11,-0.019751,-0.019949
96,2021-09-20,25.770000457763672,BPAC11,-0.038433,-0.039191
97,2021-09-21,26.239999771118164,BPAC11,0.018238,0.018074
98,2021-09-22,27.239999771118164,BPAC11,0.03811,0.037402
99,2021-09-23,27.020000457763672,BPAC11,-0.008076,-0.008109
100,2021-09-24,26.770000457763672,BPAC11,-0.009252,-0.009295
101,2021-09-27,26.829999923706055,BPAC11,0.002241,0.002239
102,2021-09-28,25.639999389648438,BPAC11,-0.044353,-0.045367
103,2021-09-29,25.920000076293945,BPAC11,0.01092,0.010861
104,2021-09-30,25.0,BPAC11,-0.035494,-0.036139
105,2021-10-01,26.020000457763672,BPAC11,0.0408,0.03999
106,2021-10-04,24.719999313354492,BPAC11,-0.049962,-0.051253
107,2021-10-05,24.09000015258789,BPAC11,-0.025485,-0.025816
108,2021-10-06,24.299999237060547,BPAC11,0.008717,0.008679
109,2021-10-07,24.399999618530273,BPAC11,0.004115,0.004107
110,2021-10-08,25.649999618530273,BPAC11,0.05123,0.04996
111,2021-10-11,24.100000381469727,BPAC11,-0.060429,-0.062332
112,2021-10-13,24.739999771118164,BPAC11,0.026556,0.02621
113,2021-10-14,24.780000686645508,BPAC11,0.001617,0.001616
114,2021-10-15,25.950000762939453,BPAC11,0.047215,0.046135
115,2021-10-18,25.5,BPAC11,-0.017341,-0.017493
116,2021-10-19,24.139999389648438,BPAC11,-0.053333,-0.054808
117,2021-10-20,24.790000915527344,BPAC11,0.026926,0.02657
118,2021-10-21,23.229999542236328,BPAC11,-0.062929,-0.064996
119,2021-10-22,22.93000030517578,BPAC11,-0.012914,-0.012998
120,2021-10-25,23.360000610351562,BPAC11,0.018753,0.018579
121,2021-10-26,22.479999542236328,BPAC11,-0.037671,-0.038399
122,2021-10-27,22.799999237060547,BPAC11,0.014235,0.014134
123,2021-10-28,22.729999542236328,BPAC11,-0.00307,-0.003075
124,2021-10-29,22.649999618530273,BPAC11,-0.00352,-0.003526
125,2021-11-01,23.59000015258789,BPAC11,0.041501,0.040663
126,2021-11-03,23.81999969482422,BPAC11,0.00975,0.009703
127,2021-11-04,23.389999389648438,BPAC11,-0.018052,-0.018217
128,2021-11-05,24.440000534057617,BPAC11,0.044891,0.043913
129,2021-11-08,23.81999969482422,BPAC11,-0.025368,-0.025696
130,2021-11-09,22.690000534057617,BPAC11,-0.047439,-0.048601
131,2021-11-10,23.75,BPAC11,0.046717,0.045658
132,2021-11-11,23.84000015258789,BPAC11,0.003789,0.003782
133,2021-11-12,22.780000686645508,BPAC11,-0.044463,-0.045482
134,2021-11-16,21.8700008392334,BPAC11,-0.039947,-0.040767
135,2021-11-17,20.8700008392334,BPAC11,-0.045725,-0.046803
136,2021-11-18,20.8799991607666,BPAC11,0.000479,0.000479
137,2021-11-19,20.920000076293945,BPAC11,0.001916,0.001914
138,2021-11-22,19.920000076293945,BPAC11,-0.047801,-0.048981
139,2021-11-23,20.100000381469727,BPAC11,0.009036,0.008996
140,2021-11-24,20.600000381469727,BPAC11,0.024876,0.024571
141,2021-11-25,21.84000015258789,BPAC11,0.060194,0.058452
142,2021-11-26,20.81999969482422,BPAC11,-0.046703,-0.047829
143,2021-11-29,21.540000915527344,BPAC11,0.034582,0.033998
144,2021-11-30,20.65999984741211,BPAC11,-0.040854,-0.041712
145,2021-12-01,20.760000228881836,BPAC11,0.00484,0.004829
146,2021-12-02,20.889999389648438,BPAC11,0.006262,0.006242
147,2021-12-03,21.100000381469727,BPAC11,0.010053,0.010003
148,2021-12-06,21.280000686645508,BPAC11,0.008531,0.008495
149,2021-12-07,21.219999313354492,BPAC11,-0.00282,-0.002824
150,2021-12-08,21.709999084472656,BPAC11,0.023091,0.022829
151,2021-12-09,21.3700008392334,BPAC11,-0.015661,-0.015785
152,2021-12-10,22.670000076293945,BPAC11,0.060833,0.059054
153,2021-12-13,22.829999923706055,BPAC11,0.007058,0.007033
154,2021-12-14,21.829999923706055,BPAC11,-0.043802,-0.04479
155,2021-12-15,22.440000534057617,BPAC11,0.027943,0.02756
156,2021-12-16,22.25,BPAC11,-0.008467,-0.008503
157,2021-12-17,22.65999984741211,BPAC11,0.018427,0.018259
158,2021-12-20,21.690000534057617,BPAC11,-0.042807,-0.04375
159,2021-12-21,21.40999984741211,BPAC11,-0.012909,-0.012993
160,2021-12-22,21.780000686645508,BPAC11,0.017282,0.017134
161,2021-12-23,21.459999084472656,BPAC11,-0.014692,-0.014801
162,2021-12-27,21.479999542236328,BPAC11,0.000932,0.000932
163,2021-12-28,20.719999313354492,BPAC11,-0.035382,-0.036023
164,2021-12-29,20.729999542236328,BPAC11,0.000483,0.000483
165,2021-12-30,20.969999313354492,BPAC11,0.011577,0.011511
166,2022-01-03,20.1200008392334,BPAC11,-0.040534,-0.041378
167,2022-01-04,19.65999984741211,BPAC11,-0.022863,-0.023128
168,2022-01-05,18.809999465942383,BPAC11,-0.043235,-0.044197
169,2022-01-06,18.459999084472656,BPAC11,-0.018607,-0.018782
170,2022-01-07,18.600000381469727,BPAC11,0.007584,0.007555
171,2022-01-10,18.559999465942383,BPAC11,-0.002151,-0.002153
172,2022-01-11,19.450000762939453,BPAC11,0.047953,0.046838
173,2022-01-12,19.559999465942383,BPAC11,0.005655,0.00564
174,2022-01-13,19.299999237060547,BPAC11,-0.013292,-0.013382
175,2022-01-14,19.610000610351562,BPAC11,0.016062,0.015935
176,2022-01-17,19.760000228881836,BPAC11,0.007649,0.00762
177,2022-01-18,18.950000762939453,BPAC11,-0.040992,-0.041856
178,2022-01-19,19.940000534057617,BPAC11,0.052243,0.050924
179,2022-01-20,21.610000610351562,BPAC11,0.083751,0.080428
180,2022-01-21,21.299999237060547,BPAC11,-0.014345,-0.014449
181,2022-01-24,21.610000610351562,BPAC11,0.014554,0.014449
182,2022-01-25,22.520000457763672,BPAC11,0.04211,0.041248
183,2022-01-26,23.149999618530273,BPAC11,0.027975,0.027591
184,2022-01-27,24.1200008392334,BPAC11,0.041901,0.041047
185,2022-01-28,23.31999969482422,BPAC11,-0.033168,-0.03373
186,2022-01-31,24.040000915527344,BPAC11,0.030875,0.030408
187,2022-02-01,24.25,BPAC11,0.008735,0.008697
188,2022-02-02,23.389999389648438,BPAC11,-0.035464,-0.036108
